Episode,Reward
100,52.2348
200,62.112
300,57.7098
400,48.6519
500,43.455
600,41.7555
700,36.2298
800,36.592
900,48.0169
1000,34.7672
1100,36.4054
1200,41.0718
1300,36.1331
1400,31.7123
1500,57.661
1600,53.0065
1700,39.1519
1800,36.0559
1900,28.9011
2000,29.3092
2100,14.0429
2200,23.1498
2300,43.5204
2400,26.2096
2500,37.1495
2600,28.2581
2700,33.0735
2800,31.4529
2900,32.4349
3000,28.8561
3100,20.8272
3200,21.299
3300,24.6313
3400,19.7215
3500,34.7641
3600,30.9466
3700,31.7334
3800,26.8552
3900,27.0152
4000,35.6345
4100,25.8641
4200,47.4206
4300,35.3086
4400,17.7693
4500,32.3074
4600,20.322
4700,26.367
4800,15.8988
4900,29.1317
5000,30.5939
5100,30.7439
5200,27.299
5300,28.7738
5400,38.379
5500,18.2582
5600,24.0263
5700,28.6115
5800,21.7449
5900,21.1353
6000,23.2833
6100,29.781
6200,16.6108
6300,20.0309
6400,40.4757
6500,23.5978
6600,13.6709
6700,19.8951
6800,6.20754
6900,32.8803
7000,29.6706
7100,22.2797
7200,16.7555
7300,21.7963
7400,16.2165
7500,22.1128
7600,25.2222
7700,19.993
7800,6.69697
7900,13.9445
8000,27.4708
8100,28.7226
8200,19.0952
8300,25.97
8400,25.0187
8500,10.2943
8600,27.5772
8700,11.2661
8800,17.7697
8900,27.3203
9000,24.5613
9100,22.8227
9200,15.5293
9300,20.0037
9400,20.0614
9500,21.0112
9600,20.0878
9700,15.7194
9800,17.7738
9900,14.5355
10000,17.9702
10100,26.8469
10200,7.05196
10300,4.22457
10400,12.3222
10500,12.275
10600,19.564
10700,6.624
10800,8.87545
10900,15.8676
11000,23.3388
11100,6.0422
11200,21.0293
11300,12.0604
11400,28.9937
11500,8.19245
11600,11.9806
11700,17.9033
11800,20.8329
11900,17.8321
12000,21.1876
12100,9.85942
12200,26.9651
12300,13.4672
12400,12.2767
12500,16.8163
12600,16.4247
12700,10.7285
12800,19.2649
12900,18.8028
13000,19.7691
13100,16.3146
13200,1.94884
13300,18.1873
13400,14.0118
13500,29.0085
13600,17.9393
13700,21.5584
13800,24.265
13900,7.60657
14000,16.017
14100,13.2496
14200,19.1416
14300,12.0771
14400,19.3258
14500,19.5222
14600,15.5539
14700,18.9748
14800,10.4545
14900,23.2248
15000,19.9678
15100,10.5104
15200,23.6098
15300,15.5732
15400,8.86784
15500,12.5911
15600,1.3844
15700,9.1106
15800,8.12567
15900,5.63562
16000,19.3577
16100,26.3158
16200,9.16587
16300,11.4306
16400,3.50596
16500,13.5232
16600,23.3778
16700,9.17728
16800,14.7023
16900,5.55397
17000,25.4581
17100,11.0975
17200,20.2313
17300,10.5812
17400,8.01406
17500,13.4285
17600,13.2729
17700,18.3848
17800,23.387
17900,8.37589
18000,11.976
18100,21.8865
18200,15.7612
18300,14.9873
18400,17.8751
18500,17.2727
18600,7.71915
18700,21.1682
18800,2.86651
18900,10.1807
19000,17.5007
19100,13.2585
19200,9.56773
19300,15.3615
19400,21.4296
19500,4.2729
19600,-6.93638
19700,12.1487
19800,15.9929
19900,17.6875
20000,19.5555
20100,19.6671
20200,5.48389
20300,12.5265
20400,13.0806
20500,7.25932
20600,4.00818
20700,8.20861
20800,20.9607
20900,21.3272
21000,12.6561
21100,17.0558
21200,11.6456
21300,3.23773
21400,8.95037
21500,13.942
21600,11.258
21700,12.2301
21800,1.90258
21900,-0.491651
22000,17.2803
22100,5.27421
22200,21.0018
22300,12.9322
22400,4.84681
22500,12.943
22600,10.6812
22700,23.9562
22800,8.11559
22900,-5.36189
23000,8.70702
23100,14.7407
23200,7.16077
23300,12.5983
23400,9.72095
23500,7.5494
23600,18.8227
23700,3.28059
23800,18.5515
23900,9.97455
24000,5.06797
24100,15.1584
24200,-1.71915
24300,4.53657
24400,11.9838
24500,5.41986
24600,9.25432
24700,15.7023
24800,10.5386
24900,6.15681
25000,9.21531
25100,4.11904
25200,14.1955
25300,14.1515
25400,4.45929
25500,4.88891
25600,10.0356
25700,16.2454
25800,17.4382
25900,17.7078
26000,5.33969
26100,7.75287
26200,10.4276
26300,13.5337
26400,5.79024
26500,13.5761
26600,6.07131
26700,11.8028
26800,12.6834
26900,18.875
27000,5.79574
27100,21.3371
27200,13.6174
27300,16.2456
27400,-2.64657
27500,18.3778
27600,9.8544
27700,9.64554
27800,3.81702
27900,13.9947
28000,7.44304
28100,8.46004
28200,11.8341
28300,13.4366
28400,7.34189
28500,7.91548
28600,9.43884
28700,11.4792
28800,2.32994
28900,11.3203
29000,12.7418
29100,-1.57527
29200,9.74397
29300,1.11588
29400,6.77973
29500,11.5336
29600,7.7961
29700,9.80112
29800,20.3215
29900,4.88911
30000,9.39262
30100,2.39953
30200,8.96026
30300,11.006
30400,8.11915
30500,6.2489
30600,10.8774
30700,8.59289
30800,4.34464
30900,4.6299
31000,18.2118
31100,11.797
31200,9.26342
31300,6.72573
31400,9.6694
31500,2.13125
31600,16.1528
31700,12.647
31800,13.7478
31900,10.5291
32000,18.6446
32100,13.0209
32200,5.8218
32300,10.1624
32400,16.7463
32500,-1.84173
32600,7.2172
32700,5.09134
32800,5.30559
32900,15.259
33000,6.70387
33100,17.0593
33200,13.3176
33300,10.5729
33400,-0.730947
33500,22.2807
33600,21.357
33700,6.62784
33800,10.8846
33900,5.65904
34000,15.7501
34100,9.84206
34200,8.19762
34300,4.97131
34400,8.60619
34500,7.52973
34600,-0.418601
34700,1.6928
34800,-3.81018
34900,14.8671
35000,2.86328
35100,5.12674
35200,2.38661
35300,9.94428
35400,18.3959
35500,14.0597
35600,2.95379
35700,8.44983
35800,5.24459
35900,3.81636
