002120121202100121	,0.942404,
002121012002101212	,2.01591,
002121012020121012	,2.98654,
002121012022101012	,1.57697,
002121012202101012	,1.54214,
002121021002101221	,0.778939,
002121021002121201	,3.33333,
002121021020121021	,3.3149,
002121021022101021	,1.36921,
002121021202101021	,1.14153,
002121102002101122	,0.661475,
002121102002121120	,2.47522,
002121102020121102	,3.33257,
002121102022101102	,1.05414,
002121102202101102	,0.670844,
002121120002101122	,0.188,
002121120002121102	,1.23923,
002121120020121120	,3.32916,
002121120022101120	,0.530837,
002121120202101120	,0.188,
002122011002102211	,0,
002122011020122011	,0.188,
002122011022102011	,0.2,
002122011202102011	,0.669047,
002122101002102121	,1.76786,
002122101020122101	,0.15615,
002122101022102101	,0,
002122101202102101	,0,
002122110002102112	,0.2,
002122110020122110	,0.800986,
002122110202102110	,0,
002201112000221112	,3.13218,
002201112002021112	,2.83762,
002201112002221110	,1.04253,
002201112020201112	,1.63965,
002201112202001112	,1.57142,
002201121000221121	,3.12417,
002201121002021121	,3.14474,
002201121002221101	,2.08194,
002201121020201121	,2.51834,
002201121202001121	,3.05104,
002201211000221211	,0.2,
002201211002021211	,0.388,
002201211002221011	,0,
002201211020201211	,2.09475,
002201211202001211	,0,
002210112000212112	,0.2,
002210112002212110	,0.17672,
002210112020210112	,0,
002210112202010112	,0.877618,
002210121000212121	,3.32199,
002210121020210121	,0.502694,
002210121202010121	,1.22573,
002210211000212211	,0.388,
002210211020210211	,1.59899,
002210211202010211	,0.530837,
002211012002011212	,3.33333,
002211012020211012	,3.03764,
002211012202011012	,2.17227,
002211021002211201	,2.86517,
002211021020211021	,1.02496,
002211021202011021	,0.388,
002211102002211120	,0.886987,
002211102020211102	,0.483812,
002211102202011102	,1.27347,
002211120002211102	,3.17053,
002211120020211120	,2.39226,
002211120202011120	,2.18787,
002211201002211021	,2.39982,
002211201020211201	,0.702694,
002211201202011201	,0.689618,
002211210020211210	,1.15466,
002211210202011210	,2.72487,
002212011002012211	,1.45112,
002212011020212011	,0,
002212011202012011	,0.2,
002212101020212101	,0.534781,
002212101202012101	,1.38121,
002212110002210112	,0.730837,
002212110020212110	,0.17672,
002212110202012110	,0,
002221011002201211	,0.554117,
002221011020221011	,0.914744,
002221011022201011	,2.44173,
002221011202021011	,0.56472,
002221011202201011	,0.2,
002221101002201121	,0.166117,
002221101020221101	,1.74499,
002221101022201101	,0.710267,
002221101202021101	,0.868811,
002221101202201101	,0.2,
002221110020221110	,0.15615,
002221110022201110	,0.388,
