Episode,Reward
100,56.8869
200,51.237
300,47.6628
400,53.993
500,55.7319
600,41.7037
700,31.0666
800,33.1
900,34.2888
1000,36.1776
1100,27.5121
1200,37.4357
1300,40.7
1400,38.2999
1500,36.6041
1600,44.2008
1700,30.4178
1800,29.6655
1900,28.6447
2000,32.6593
2100,42.9666
2200,26.92
2300,29.08
2400,27.2031
2500,37.6226
2600,23.9141
2700,28.4732
2800,36.6646
2900,43.7409
3000,33.9771
3100,25.5722
3200,29.6471
3300,16.8763
3400,20.2014
3500,41.499
3600,25.0163
3700,27.0189
3800,20.5673
3900,37.6271
4000,17.3728
4100,17.8204
4200,30.2419
4300,33.6893
4400,13.4023
4500,16.7314
4600,30.3059
4700,18.7877
4800,17.6123
4900,20.2867
5000,16.4447
5100,25.7227
5200,25.5696
5300,18.3782
5400,28.2064
5500,16.2099
5600,19.2935
5700,26.9128
5800,22.9795
5900,18.8433
6000,19.5406
6100,20.4383
6200,24.7648
6300,18.0499
6400,18.4039
6500,23.3492
6600,26.6723
6700,9.98994
6800,8.82909
6900,28.2874
7000,22.4455
7100,13.3282
7200,20.2581
7300,21.644
7400,14.8257
7500,25.6487
7600,16.1414
7700,19.7193
7800,15.5601
7900,13.4369
8000,28.695
8100,27.1574
8200,7.20462
8300,25.89
8400,10.3299
8500,21.7005
8600,16.4354
8700,9.92546
8800,10.4485
8900,8.94369
9000,23.8861
9100,18.6366
9200,17.1488
9300,16.8298
9400,21.0093
9500,19.3524
9600,7.81808
9700,11.2725
9800,18.7131
9900,12.7165
10000,22.2383
10100,16.9405
10200,11.4613
10300,9.00217
10400,9.13706
10500,18.8262
10600,19.7991
10700,16.5697
10800,11.8966
10900,22.3228
11000,16.4645
11100,19.4859
11200,6.92839
11300,19.6907
11400,12.4121
11500,8.80394
11600,8.43587
11700,12.9289
11800,7.15476
11900,7.31495
12000,16.01
12100,16.0599
12200,15.3033
12300,9.61556
12400,14.2338
12500,6.0773
12600,5.94141
12700,14.8723
12800,8.59681
12900,21.9487
13000,14.445
13100,2.67511
13200,4.11184
13300,3.30027
13400,10.0717
13500,8.49624
13600,2.7414
13700,11.0174
13800,12.1863
13900,10.6699
14000,14.0888
14100,4.40003
14200,13.7567
14300,15.8901
14400,10.8517
14500,20.8562
14600,13.4046
14700,6.57228
14800,7.02722
14900,9.20418
15000,7.2761
15100,1.67903
15200,10.6067
